user_id,product_id,event_type,score,segment
user_0000,p026,view,2,wedding_shopper
user_0000,p043,view,5,wedding_shopper
user_0000,p002,purchase,4,wedding_shopper
user_0000,p087,purchase,4,wedding_shopper
user_0000,p033,view,3,wedding_shopper
user_0000,p001,view,1,wedding_shopper
user_0001,p034,view,4,wedding_shopper
user_0001,p031,view,5,wedding_shopper
user_0001,p087,click,2,wedding_shopper
user_0001,p026,view,3,wedding_shopper
user_0001,p099,view,5,wedding_shopper
user_0001,p001,view,4,wedding_shopper
user_0001,p002,view,3,wedding_shopper
user_0001,p057,click,2,wedding_shopper
user_0001,p046,view,5,wedding_shopper
user_0001,p064,view,1,wedding_shopper
user_0001,p043,view,2,wedding_shopper
user_0001,p043,view,4,wedding_shopper
user_0001,p026,click,1,wedding_shopper
user_0001,p005,purchase,4,wedding_shopper
user_0001,p099,click,4,wedding_shopper
user_0001,p026,view,2,wedding_shopper
user_0001,p058,click,4,wedding_shopper
user_0001,p057,view,2,wedding_shopper
user_0001,p031,click,4,wedding_shopper
user_0001,p031,click,5,wedding_shopper
user_0001,p064,click,1,wedding_shopper
user_0001,p085,click,4,wedding_shopper
user_0001,p001,click,1,wedding_shopper
user_0001,p071,view,1,wedding_shopper
user_0001,p027,view,1,wedding_shopper
user_0002,p099,view,3,wedding_shopper
user_0002,p047,view,5,wedding_shopper
user_0002,p099,view,3,wedding_shopper
user_0002,p064,view,3,wedding_shopper
user_0002,p034,click,3,wedding_shopper
user_0002,p005,view,2,wedding_shopper
user_0002,p057,view,4,wedding_shopper
user_0002,p057,view,5,wedding_shopper
user_0002,p046,view,4,wedding_shopper
user_0002,p031,view,1,wedding_shopper
user_0002,p005,view,1,wedding_shopper
user_0002,p033,click,1,wedding_shopper
user_0002,p027,view,1,wedding_shopper
user_0002,p002,click,4,wedding_shopper
user_0002,p026,view,1,wedding_shopper
user_0002,p002,view,3,wedding_shopper
user_0002,p085,view,1,wedding_shopper
user_0002,p034,click,1,wedding_shopper
user_0002,p046,view,1,wedding_shopper
user_0002,p099,view,2,wedding_shopper
user_0002,p071,view,1,wedding_shopper
user_0002,p034,view,3,wedding_shopper
user_0002,p085,view,3,wedding_shopper
user_0002,p099,view,5,wedding_shopper
user_0002,p033,view,4,wedding_shopper
user_0002,p002,purchase,3,wedding_shopper
user_0002,p064,click,1,wedding_shopper
user_0002,p043,view,4,wedding_shopper
user_0003,p083,view,4,wedding_shopper
user_0003,p033,click,4,wedding_shopper
user_0003,p002,view,5,wedding_shopper
user_0003,p005,view,2,wedding_shopper
user_0003,p085,view,4,wedding_shopper
user_0003,p058,view,2,wedding_shopper
user_0003,p002,click,2,wedding_shopper
user_0003,p043,view,5,wedding_shopper
user_0003,p064,view,5,wedding_shopper
user_0003,p046,click,1,wedding_shopper
user_0003,p087,add_to_cart,1,wedding_shopper
user_0003,p071,view,4,wedding_shopper
user_0003,p043,click,4,wedding_shopper
user_0003,p031,view,3,wedding_shopper
user_0003,p034,view,4,wedding_shopper
user_0003,p064,click,3,wedding_shopper
user_0003,p047,click,1,wedding_shopper
user_0003,p026,view,2,wedding_shopper
user_0004,p005,view,4,wedding_shopper
user_0004,p026,purchase,4,wedding_shopper
user_0004,p034,view,5,wedding_shopper
user_0004,p033,click,4,wedding_shopper
user_0004,p027,view,5,wedding_shopper
user_0004,p085,view,5,wedding_shopper
user_0004,p033,view,4,wedding_shopper
user_0004,p033,click,5,wedding_shopper
user_0004,p002,view,4,wedding_shopper
user_0004,p083,add_to_cart,4,wedding_shopper
user_0004,p027,view,5,wedding_shopper
user_0004,p046,click,3,wedding_shopper
user_0004,p058,add_to_cart,2,wedding_shopper
user_0004,p027,purchase,5,wedding_shopper
user_0004,p031,view,2,wedding_shopper
user_0004,p002,purchase,1,wedding_shopper
user_0004,p027,view,3,wedding_shopper
user_0004,p043,view,2,wedding_shopper
user_0004,p071,add_to_cart,5,wedding_shopper
user_0004,p001,click,3,wedding_shopper
user_0004,p047,add_to_cart,1,wedding_shopper
user_0005,p031,click,5,wedding_shopper
user_0005,p071,view,3,wedding_shopper
user_0005,p083,click,1,wedding_shopper
user_0005,p043,add_to_cart,3,wedding_shopper
user_0005,p083,purchase,1,wedding_shopper
user_0005,p005,click,5,wedding_shopper
user_0005,p099,click,5,wedding_shopper
user_0006,p002,view,4,wedding_shopper
user_0006,p026,click,1,wedding_shopper
user_0006,p033,view,5,wedding_shopper
user_0006,p057,view,2,wedding_shopper
user_0006,p047,view,4,wedding_shopper
user_0006,p064,add_to_cart,3,wedding_shopper
user_0006,p005,click,2,wedding_shopper
user_0006,p085,purchase,5,wedding_shopper
user_0006,p057,view,5,wedding_shopper
user_0006,p064,view,4,wedding_shopper
user_0006,p001,view,3,wedding_shopper
user_0006,p071,view,3,wedding_shopper
user_0006,p046,click,2,wedding_shopper
user_0006,p043,view,1,wedding_shopper
user_0006,p058,view,3,wedding_shopper
user_0006,p085,view,4,wedding_shopper
user_0007,p002,view,3,wedding_shopper
user_0007,p058,view,3,wedding_shopper
user_0007,p083,click,3,wedding_shopper
user_0007,p027,click,4,wedding_shopper
user_0007,p064,click,4,wedding_shopper
user_0007,p033,click,3,wedding_shopper
user_0007,p001,view,3,wedding_shopper
user_0007,p005,view,3,wedding_shopper
user_0007,p034,view,5,wedding_shopper
user_0007,p087,view,4,wedding_shopper
user_0007,p005,view,4,wedding_shopper
user_0007,p058,view,1,wedding_shopper
user_0007,p031,click,2,wedding_shopper
user_0007,p064,view,1,wedding_shopper
user_0007,p046,click,5,wedding_shopper
user_0007,p064,click,5,wedding_shopper
user_0007,p083,view,1,wedding_shopper
user_0007,p005,view,4,wedding_shopper
user_0007,p083,click,4,wedding_shopper
user_0007,p043,click,1,wedding_shopper
user_0007,p087,view,2,wedding_shopper
user_0007,p027,click,1,wedding_shopper
user_0007,p071,view,2,wedding_shopper
user_0007,p034,view,5,wedding_shopper
user_0007,p057,view,4,wedding_shopper
user_0007,p087,click,2,wedding_shopper
user_0007,p034,view,4,wedding_shopper
user_0008,p002,click,5,wedding_shopper
user_0008,p057,add_to_cart,2,wedding_shopper
user_0008,p031,view,1,wedding_shopper
user_0008,p099,view,2,wedding_shopper
user_0008,p083,purchase,5,wedding_shopper
user_0008,p083,view,4,wedding_shopper
user_0008,p071,view,4,wedding_shopper
user_0008,p064,view,1,wedding_shopper
user_0008,p031,view,3,wedding_shopper
user_0008,p033,click,1,wedding_shopper
user_0008,p034,view,1,wedding_shopper
user_0008,p064,view,3,wedding_shopper
user_0008,p085,add_to_cart,3,wedding_shopper
user_0008,p087,view,2,wedding_shopper
user_0008,p057,purchase,3,wedding_shopper
user_0008,p046,click,1,wedding_shopper
user_0008,p083,click,5,wedding_shopper
user_0008,p046,view,2,wedding_shopper
user_0008,p047,click,5,wedding_shopper
user_0008,p005,view,5,wedding_shopper
user_0008,p033,view,5,wedding_shopper
user_0008,p026,view,2,wedding_shopper
user_0008,p071,click,3,wedding_shopper
user_0008,p083,click,5,wedding_shopper
user_0009,p027,view,5,wedding_shopper
user_0009,p005,view,2,wedding_shopper
user_0009,p087,view,5,wedding_shopper
user_0009,p002,view,3,wedding_shopper
user_0009,p099,view,5,wedding_shopper
user_0009,p064,add_to_cart,5,wedding_shopper
user_0009,p083,click,5,wedding_shopper
user_0009,p064,view,4,wedding_shopper
user_0010,p046,view,5,wedding_shopper
user_0010,p034,view,5,wedding_shopper
user_0010,p071,purchase,5,wedding_shopper
user_0010,p071,click,2,wedding_shopper
user_0010,p057,view,3,wedding_shopper
user_0010,p034,view,4,wedding_shopper
user_0010,p064,view,4,wedding_shopper
user_0010,p034,view,2,wedding_shopper
user_0010,p031,view,1,wedding_shopper
user_0010,p071,add_to_cart,5,wedding_shopper
user_0010,p046,add_to_cart,3,wedding_shopper
user_0010,p046,add_to_cart,3,wedding_shopper
user_0010,p031,view,5,wedding_shopper
user_0010,p001,view,5,wedding_shopper
user_0011,p034,click,1,wedding_shopper
user_0011,p043,click,5,wedding_shopper
user_0011,p031,view,5,wedding_shopper
user_0011,p005,view,5,wedding_shopper
user_0011,p005,add_to_cart,1,wedding_shopper
user_0011,p046,view,4,wedding_shopper
user_0011,p099,view,1,wedding_shopper
user_0011,p033,add_to_cart,2,wedding_shopper
user_0011,p064,view,3,wedding_shopper
user_0011,p046,click,2,wedding_shopper
user_0011,p001,purchase,5,wedding_shopper
user_0011,p083,view,2,wedding_shopper
user_0012,p043,view,3,wedding_shopper
user_0012,p031,view,4,wedding_shopper
user_0012,p071,add_to_cart,5,wedding_shopper
user_0012,p058,view,2,wedding_shopper
user_0012,p047,click,5,wedding_shopper
user_0012,p005,view,4,wedding_shopper
user_0012,p001,view,2,wedding_shopper
user_0012,p099,view,2,wedding_shopper
user_0012,p071,click,1,wedding_shopper
user_0012,p046,view,4,wedding_shopper
user_0012,p033,click,1,wedding_shopper
user_0013,p043,view,5,wedding_shopper
user_0013,p047,click,2,wedding_shopper
user_0013,p058,click,5,wedding_shopper
user_0013,p046,view,2,wedding_shopper
user_0013,p085,view,5,wedding_shopper
user_0013,p046,view,4,wedding_shopper
user_0013,p057,purchase,4,wedding_shopper
user_0013,p027,view,1,wedding_shopper
user_0013,p047,purchase,1,wedding_shopper
user_0013,p027,view,1,wedding_shopper
user_0013,p047,view,1,wedding_shopper
user_0013,p001,view,4,wedding_shopper
user_0013,p083,click,4,wedding_shopper
user_0013,p001,view,4,wedding_shopper
user_0013,p043,view,1,wedding_shopper
user_0013,p099,view,5,wedding_shopper
user_0013,p047,view,2,wedding_shopper
user_0013,p005,view,1,wedding_shopper
user_0013,p071,view,1,wedding_shopper
user_0013,p026,click,5,wedding_shopper
user_0013,p099,view,1,wedding_shopper
user_0013,p034,view,4,wedding_shopper
user_0013,p071,view,3,wedding_shopper
user_0013,p047,view,5,wedding_shopper
user_0013,p057,view,4,wedding_shopper
user_0013,p083,view,3,wedding_shopper
user_0013,p001,add_to_cart,1,wedding_shopper
user_0013,p046,view,1,wedding_shopper
user_0014,p047,view,1,wedding_shopper
user_0014,p058,view,3,wedding_shopper
user_0014,p033,add_to_cart,1,wedding_shopper
user_0014,p083,add_to_cart,1,wedding_shopper
user_0014,p043,click,1,wedding_shopper
user_0014,p071,view,1,wedding_shopper
user_0014,p071,add_to_cart,5,wedding_shopper
user_0014,p033,view,2,wedding_shopper
user_0014,p027,view,1,wedding_shopper
user_0014,p087,view,3,wedding_shopper
user_0014,p099,purchase,4,wedding_shopper
user_0014,p057,purchase,1,wedding_shopper
user_0014,p043,view,5,wedding_shopper
user_0014,p001,add_to_cart,5,wedding_shopper
user_0014,p033,view,5,wedding_shopper
user_0014,p085,view,4,wedding_shopper
user_0015,p099,view,4,wedding_shopper
user_0015,p057,click,3,wedding_shopper
user_0015,p033,add_to_cart,1,wedding_shopper
user_0015,p031,purchase,1,wedding_shopper
user_0015,p064,view,1,wedding_shopper
user_0015,p031,purchase,3,wedding_shopper
user_0015,p001,click,5,wedding_shopper
user_0015,p031,add_to_cart,2,wedding_shopper
user_0015,p026,view,4,wedding_shopper
user_0015,p033,view,3,wedding_shopper
user_0015,p057,view,1,wedding_shopper
user_0015,p087,click,5,wedding_shopper
user_0015,p087,purchase,5,wedding_shopper
user_0015,p058,view,3,wedding_shopper
user_0015,p085,view,1,wedding_shopper
user_0015,p001,click,2,wedding_shopper
user_0015,p083,view,2,wedding_shopper
user_0015,p031,view,4,wedding_shopper
user_0015,p043,click,1,wedding_shopper
user_0015,p026,view,3,wedding_shopper
user_0015,p002,click,3,wedding_shopper
user_0015,p085,add_to_cart,4,wedding_shopper
user_0015,p026,view,1,wedding_shopper
user_0015,p057,view,3,wedding_shopper
user_0015,p058,view,4,wedding_shopper
user_0015,p027,click,4,wedding_shopper
user_0015,p046,click,3,wedding_shopper
user_0015,p058,view,1,wedding_shopper
user_0015,p064,view,5,wedding_shopper
user_0016,p047,view,1,wedding_shopper
user_0016,p087,view,2,wedding_shopper
user_0016,p027,click,5,wedding_shopper
user_0016,p099,view,1,wedding_shopper
user_0016,p083,view,2,wedding_shopper
user_0016,p005,view,2,wedding_shopper
user_0017,p099,view,4,wedding_shopper
user_0017,p058,view,2,wedding_shopper
user_0017,p034,view,2,wedding_shopper
user_0017,p064,view,1,wedding_shopper
user_0017,p002,view,2,wedding_shopper
user_0017,p087,view,3,wedding_shopper
user_0017,p033,click,3,wedding_shopper
user_0017,p057,view,2,wedding_shopper
user_0017,p005,view,1,wedding_shopper
user_0017,p057,click,1,wedding_shopper
user_0017,p002,add_to_cart,5,wedding_shopper
user_0018,p031,view,4,wedding_shopper
user_0018,p005,view,5,wedding_shopper
user_0018,p027,view,2,wedding_shopper
user_0018,p026,view,3,wedding_shopper
user_0018,p099,view,1,wedding_shopper
user_0018,p087,add_to_cart,3,wedding_shopper
user_0018,p064,click,4,wedding_shopper
user_0018,p002,click,3,wedding_shopper
user_0018,p002,click,3,wedding_shopper
user_0018,p083,view,1,wedding_shopper
user_0018,p002,view,1,wedding_shopper
user_0018,p031,view,3,wedding_shopper
user_0018,p027,view,4,wedding_shopper
user_0018,p027,view,3,wedding_shopper
user_0018,p002,purchase,1,wedding_shopper
user_0018,p001,click,4,wedding_shopper
user_0018,p099,add_to_cart,4,wedding_shopper
user_0018,p005,view,4,wedding_shopper
user_0018,p064,view,5,wedding_shopper
user_0018,p064,view,2,wedding_shopper
user_0018,p031,add_to_cart,2,wedding_shopper
user_0018,p005,view,1,wedding_shopper
user_0018,p046,click,1,wedding_shopper
user_0018,p002,view,4,wedding_shopper
user_0018,p026,view,4,wedding_shopper
user_0018,p087,view,3,wedding_shopper
user_0019,p047,click,1,wedding_shopper
user_0019,p087,view,1,wedding_shopper
user_0019,p071,view,1,wedding_shopper
user_0019,p027,purchase,1,wedding_shopper
user_0019,p083,view,3,wedding_shopper
user_0019,p043,view,4,wedding_shopper
user_0019,p047,click,4,wedding_shopper
user_0019,p071,click,5,wedding_shopper
user_0020,p027,add_to_cart,5,wedding_shopper
user_0020,p026,add_to_cart,5,wedding_shopper
user_0020,p027,click,5,wedding_shopper
user_0020,p034,view,4,wedding_shopper
user_0020,p001,view,4,wedding_shopper
user_0020,p058,view,1,wedding_shopper
